"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0260478",10.5449886369452,-0.546193549774769,0.515964137941849,-1.05858820334588,0.289787361674811,0.466601325923648
"FBgn0033988",234.893818013132,0.11606801840321,0.108822466497813,1.06658139756043,0.286160904385575,0.461705579441499
"FBgn0033989",118.255461824411,0.2152985353768,0.155255082358641,1.38674065998985,0.165520857383637,0.312532940613658
"FBgn0033990",49.564245117759,-0.163974128031942,0.244831785339161,-0.669741993690859,0.503022276790679,0.675329412591672
"FBgn0015371",93.7247613476478,-0.975072020860526,0.175620761042845,-5.55214551554438,2.82184537022732e-08,3.35241729348745e-07
"FBgn0085215",115.969649288935,0.590465635672978,0.15701985051919,3.76045215761311,0.000169606511369132,0.000998534282898495
"FBgn0033993",23.5135455477367,0.538066242981968,0.362676622098497,1.48359781192579,0.137915650228515,0.273161722712694
"FBgn0033994",43.5468294762226,-0.0474847250991181,0.251489374342171,-0.188814041242599,0.850238566469971,0.919154136399179
"FBgn0033995",69.9864504800905,0.777604204375144,0.209631744990553,3.70938191832629,0.000207765826827374,0.00118907184383771
"FBgn0033996",117.603681086285,0.37740225093559,0.152432186377994,2.47586982712251,0.0132912028106464,0.0439311139305486
"FBgn0033998",521.047653100669,0.000674397468168692,0.0754298469366922,0.00894072433601396,0.992866429128869,0.995469860284465
"FBgn0050081",9.50136319922055,0.645801317480002,0.539564709592066,1.19689317332903,0.23134819535142,0.39856405957507
"FBgn0034000",35.851763622435,-0.480957039016398,0.272105899542365,-1.76753624168122,0.0771384650806693,0.176263535246975
"FBgn0034001",34.7720254353948,0.192029378791841,0.278126610321963,0.69043871267674,0.489918338803059,0.664204815833026
"FBgn0034002",70.5451155028244,-0.0848035875031594,0.195201492013189,-0.43444128745404,0.663968021466568,0.799157123832972
"FBgn0003328",203.881181021204,-0.105493499454665,0.116196843487503,-0.907886103343344,0.363938400439343,0.548778015606439
"FBgn0034005",71.6389081219417,0.596725006110046,0.196210315200382,3.04125196221531,0.00235596588206354,0.0101398650078149
"FBgn0083959",394.578538674299,-0.51503140989187,0.0892065171051423,-5.77347290988655,7.76540959957472e-09,1.00027838193103e-07
"FBgn0034008",46.505053259106,0.257086173250215,0.245849088580957,1.0457072455876,0.295696216526488,0.473700774655995
"FBgn0004698",858.884158724735,0.25774606918036,0.06327721086848,4.07328429371007,4.63547836288967e-05,0.000316510811150314
