"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0030078",39.5860910373764,2.19417807838252,0.310818465547902,7.05935560975979,1.67276490324199e-12,3.34783389037275e-11,"CG10970","Up"
"FBgn0036299",158.977151445926,1.00214959634866,0.142643362370818,7.02556066887611,2.13208342709161e-12,4.19771980970746e-11,"Tsf2","Up"
"FBgn0027515",133.960852764758,1.0327080250241,0.14956058807507,6.9049476089633,5.02219591186692e-12,9.40155157377099e-11,"CG7115","Up"
"FBgn0052407",47.6667999008422,-1.82258740208529,0.265519929236853,-6.86422072845417,6.68551907947299e-12,1.2208338742867e-10,"CG32407","Down"
"FBgn0032405",26.0476087356715,3.01321895582061,0.439688580572925,6.8530753104716,7.22790088660472e-12,1.30949376411928e-10,"CG14946","Up"
"FBgn0002868",31.8227088563153,-2.36177413601926,0.348306033893835,-6.78074424843049,1.19558362071614e-11,2.13938793214354e-10,"MtnA","Down"
"FBgn0032730",32.6474860346395,2.33464894593993,0.346179727580335,6.74403715739869,1.54045116539461e-11,2.69671752207032e-10,"CG10431","Up"
"FBgn0030041",23.0011410295468,-2.9844531716364,0.451558298467049,-6.60923114859814,3.86321118043477e-11,6.43720853804097e-10,"CG12116","Down"
"FBgn0013672",21.7955834875275,4.61081995843365,0.702694332978004,6.56162963331879,5.32228765239172e-11,8.74805877706467e-10,"mt:ATPase6","Up"
"FBgn0033764",20.6782495086211,3.64381122145309,0.557779971962396,6.53270358315902,6.45929052949021e-11,1.05453361116284e-09,"CG8776","Up"
"FBgn0034885",39.2349335205656,1.96240169155856,0.300425168669606,6.53208151716717,6.48618336819046e-11,1.0565498244373e-09,"CG4019","Up"
"FBgn0037290",22.2969422503738,4.98309603962984,0.772446774910177,6.45105423633789,1.11074736613985e-10,1.77353398132e-09,"CG1124","Up"
"FBgn0034245",108.406535702482,1.0526602068234,0.163442188470227,6.44056602934656,1.19028758319498e-10,1.87580028024111e-09,"CG14482","Up"
"FBgn0085359",18.9125898894993,-4.21983526429659,0.660765981288091,-6.38627802247096,1.69971861354137e-10,2.63293299091216e-09,"CG34330","Down"
"FBgn0033000",89.9894012584062,1.22202092281835,0.195985131234783,6.23527364101116,4.50989044728285e-10,6.64591361044826e-09,"CG14464","Up"
"FBgn0261109",97.6705874103346,1.09279259689788,0.175575163942339,6.22407276952207,4.84412221836436e-10,7.09527175734215e-09,"mrn","Up"
"FBgn0033724",39.8367075747511,1.81610033512142,0.292190499673316,6.21546674909661,5.11723093612658e-10,7.48021785733593e-09,"CG8501","Up"
"FBgn0013680",19.2110546052326,3.70479242413559,0.596528325488101,6.21058928107763,5.27862750994417e-10,7.66984577194887e-09,"mt:ND2","Up"
"FBgn0052280",112.046225956072,1.00121123280321,0.161251324864853,6.20901089428155,5.33191268879619e-10,7.73180552576933e-09,"CG32280","Up"
"FBgn0035266",83.8698076273675,1.17541727274034,0.190834200662389,6.15936382818407,7.30377525739392e-10,1.04247401267125e-08,"CG7995","Up"
"FBgn0040602",107.785899025638,1.02886976926533,0.167186097706622,6.15403902225646,7.55340860258303e-10,1.07178737300324e-08,"CG14545","Up"
"FBgn0038528",43.2886272256034,1.63792087196232,0.272875467152569,6.00244825617296,1.94364212958755e-09,2.67942316346367e-08,"CG14326","Up"
"FBgn0034389",36.7199296402166,-1.82913539675511,0.305320346372555,-5.99087292572105,2.08717680953139e-09,2.86641578851523e-08,"Mctp","Down"
"FBgn0032029",87.5490395494663,-1.10867772732916,0.185802802994129,-5.96695910644682,2.41715957386672e-09,3.29468373436055e-08,"CG17292","Down"
"FBgn0033426",100.322769425934,-1.07698326904023,0.180664977467666,-5.96121774201078,2.50365084419557e-09,3.39347451176881e-08,"CG1814","Down"
"FBgn0030805",86.6816780789586,1.08731223043915,0.183814790097326,5.91525975610254,3.31352232142502e-09,4.42513596785896e-08,"wus","Up"
"FBgn0045800",39.6208941569758,1.66220540456109,0.283604155519101,5.86100510945841,4.60073818965489e-09,6.09933630435088e-08,"Uhg1","Up"
"FBgn0036862",84.9043089796481,1.10479047483257,0.189488107538318,5.83039478933611,5.52963943967416e-09,7.29089483289161e-08,"CG9619","Up"
"FBgn0010894",64.0655278125128,1.27630088086854,0.219389872724408,5.8175013505377,5.97337796793513e-09,7.83331966372721e-08,"sinu","Up"
"FBgn0034438",26.7881944381159,2.14089873570379,0.369777321176643,5.78969723965597,7.05134097456252e-09,9.16422042579548e-08,"CG9416","Up"
"FBgn0051642",28.672247797712,2.09342401742234,0.362965391432888,5.76755819379384,8.04283170592968e-09,1.03418004147928e-07,"CG31642","Up"
"FBgn0260011",21.0603366564997,2.55073486904611,0.44734058617532,5.70199742181774,1.18411619765993e-08,1.48320761655162e-07,"nimC4","Up"
"FBgn0052700",16.0361147804334,4.50699707332411,0.793082967589524,5.6828821920392,1.32443505149652e-08,1.65043235834e-07,"CG32700","Up"
"FBgn0046706",93.9300647341972,1.07984929419573,0.191522002560061,5.63825189670876,1.71785097413456e-08,2.11446758262929e-07,"Haspin","Up"
"FBgn0031689",92.1655568979459,1.01240762786058,0.17958927429534,5.63735018047709,1.72686728045558e-08,2.11920452576178e-07,"Cyp28d1","Up"
"FBgn0052267",95.8197451634014,1.02060939788581,0.181334127375113,5.62833600414635,1.81956383095578e-08,2.22170272804937e-07,"CG32267","Up"
"FBgn0033782",38.018705376063,-1.67657342412063,0.300333129847984,-5.58237922326198,2.37250360522048e-08,2.85841437677062e-07,"sug","Down"
"FBgn0053217",32.5095265632793,1.82737713265974,0.327838019602975,5.57402443704599,2.4892079449997e-08,2.99405558285146e-07,"CG33217","Up"
"FBgn0013811",84.6002719123791,-1.03287103956547,0.186935494913284,-5.52528047198632,3.28959669221453e-08,3.89233224249813e-07,"Dhc62B","Down"
"FBgn0085460",47.0825863867376,1.42629257792958,0.260032218344012,5.48506099364445,4.13326781853981e-08,4.80451051227067e-07,"CG34431","Up"
"FBgn0038462",82.0043379740242,1.04043371221386,0.190189846633808,5.47050082130362,4.48765627222454e-08,5.18327866736268e-07,"CG17556","Up"
"FBgn0024315",19.1626325030579,-2.39959407719671,0.44831667955271,-5.3524532693961,8.6769715622335e-08,9.58027331301313e-07,"Picot","Down"
"FBgn0063498",81.1375158879288,-1.03299255662146,0.193082129280621,-5.35001639183359,8.79462656719526e-08,9.69544188325851e-07,"GstE2","Down"
"FBgn0031117",79.8805504562415,1.0378491284047,0.195450128818719,5.31004576296449,1.09597711939442e-07,1.19195715155696e-06,"CG1702","Up"
"FBgn0063493",80.6196865721097,1.04529015841369,0.197173891106797,5.30136192244396,1.1494196487287e-07,1.2407925331373e-06,"GstE7","Up"
"FBgn0026417",70.9099976120732,1.12182367242407,0.211740794544051,5.29809890833619,1.17014580350274e-07,1.2612921754373e-06,"Hus1-like","Up"
"FBgn0058196",63.3676863556372,1.12426622934303,0.21381701913148,5.25807643334365,1.4557001911534e-07,1.54614939893706e-06,"CG40196","Up"
